# raindata from George Works
date,mm
12/12/2013,1.6
13/12/2013,0.8
14/12/2013,0.4
15/12/2013,3.2
16/12/2013,2.4
17/12/2013,6
18/12/2013,0.2
19/12/2013,0.6
20/12/2013,1.8
21/12/2013
22/12/2013,10.6
23/12/2013,9.6
24/12/2013,0.2
25/12/2013
26/12/2013
27/12/2013,1.4
28/12/2013,4
29/12/2013,2.2
30/12/2013,4.8
31/12/2013,1.2
1/1/2014,1.2
2/1/2014,0.6
3/1/2014
4/1/2014,0.6
5/1/2014,0.2
6/1/2014,1.4
7/1/2014,1.2
8/1/2014,2.6
9/1/2014,2.8
10/1/2014,1.4
11/1/2014,2
12/1/2014,0.6
13/1/2014,1.4
14/1/2014,0.4
15/1/2014,1
16/1/2014
17/1/2014,1.6
18/1/2014
19/1/2014
20/1/2014
21/1/2014
22/1/2014
23/1/2014,2
24/1/2014,5.6
25/1/2014,0.6
26/1/2014
27/1/2014,1.6
28/1/2014
29/1/2014
30/1/2014,1.4
31/1/2014,3.4
1/2/2014,6.2
2/2/2014,3.4
3/2/2014,1.6
4/2/2014
5/2/2014,2
6/2/2014,6
7/2/2014,8
8/2/2014,0.4
9/2/2014,0.4
10/2/2014
11/2/2014,0.2
12/2/2014
13/2/2014,0.4
14/2/2014
15/2/2014,1.4
16/2/2014,1.2
17/2/2014,3.8
18/2/2014,1
19/2/2014,0.4
20/2/2014
21/2/2014,3.2
22/2/2014,2.6
23/2/2014,0.4
24/2/2014,0.2
25/2/2014
26/2/2014,6.8
27/2/2014
28/2/2014
1/3/2014
2/3/2014
3/3/2014,1.8
4/3/2014
5/3/2014
6/3/2014,0.6
7/3/2014,3.2
8/3/2014
9/3/2014
10/3/2014
11/3/2014
12/3/2014,0.4
13/3/2014
14/3/2014
15/3/2014,1.4
16/3/2014,5.6
17/3/2014
18/3/2014
19/3/2014,0.2
20/3/2014
21/3/2014
22/3/2014
23/3/2014
24/3/2014
25/3/2014
26/3/2014
27/3/2014,0.8
28/3/2014,2.6
29/3/2014,0.2
30/3/2014
31/3/2014,2.2
1/4/2014,11.4
2/4/2014
3/4/2014
4/4/2014,0.4
5/4/2014,51.4
6/4/2014,1.4
7/4/2014,7
8/4/2014,0.2
9/4/2014
10/4/2014
11/4/2014
12/4/2014
13/4/2014,4.6
14/4/2014,1
15/4/2014,0.4
16/4/2014
17/4/2014,10
18/4/2014,0.2
19/4/2014,8.6
20/4/2014,4.4
21/4/2014
22/4/2014
23/4/2014
24/4/2014
25/4/2014
26/4/2014
27/4/2014
28/4/2014
29/4/2014
30/4/2014
1/5/2014
2/5/2014
3/5/2014,0.2
4/5/2014
5/5/2014
6/5/2014
7/5/2014,2.4
